,house_price,pdf,cdf
103,1030000.0,5.824921897950053e-07,0.671613163739148
104,1040000.0,5.756823024383474e-07,0.6776700989299415
105,1050000.0,5.676585928972672e-07,0.684837472239047
106,1060000.0,5.579374271534249e-07,0.690440137290531
107,1070000.0,5.462187384770924e-07,0.6961437512618615
108,1080000.0,5.324109670061326e-07,0.702200686452655
109,1090000.0,5.166390678595977e-07,0.7089642640823743
110,1100000.0,4.99226405089194e-07,0.7126993741166969
111,1110000.0,4.806264220467598e-07,0.717595396729255
112,1120000.0,4.6137701559754484e-07,0.7220876236624268
113,1130000.0,4.420299852121702e-07,0.726478901675752
114,1140000.0,4.2309535891146004e-07,0.7305673329295377
115,1150000.0,4.050044373029439e-07,0.7345548152634767
116,1160000.0,3.8807659687473183e-07,0.738037552998183
117,1170000.0,3.7251559623584946e-07,0.740965071673733
